year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2015,1,58,American-Style Wheat Beer,Super 77 Wheat,Wiley Roots Brewing Co.,Greeley,CO,Whacked Out Wheat,Telluride Brewing Co.,Telluride,CO,Mogabi,Elevator Brewing Co. - Production Facility,Columbus,OH
2015,2,41,American-Style Wheat Beer With Yeast,The Big O,O’so Brewing,Plover,WI,WeldWerks Hefeweizen,WeldWerks Brewing Co.,Greeley,CO,Boulder Bend Dunkelweizen,Fish Brewing Co.,Olympia,WA
2015,3,87,American-Style Fruit Beer,Chchchch-Cherry Bomb,Melvin Brewing,Jackson,WY,Rasplendent,Mazama Brewing Co.,Corvallis,OR,Apricot Blonde,Dry Dock Brewing Co. - Production Facility,Aurora,CO
2015,4,69,Fruit Wheat Beer,Magnolia’s Peach,BJ’s Restaurant & Brewery - Chandler,Chandler,AZ,"You’re My Boy, Blue",Brew Bus Brewing,Tampa,FL,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL
2015,5,63,Belgian-Style Fruit Beer,xReserve Ale 05-15 Peach and Ginger Saison,Saucony Creek Brewing Co.,Kutztown,PA,Kumquat Saison,Smog City Brewing,Torrance,CA,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN
2015,6,56,Pumpkin Beer,,,,,Pumpkin Grinder,Mankato Brewery,Mankato,MN,The Great Pumpkin Ale,Great Basin Brewing Co. - Sparks,Sparks,NV
2015,7,52,Field Beer,"Beets, Rhymes and Life",Fonta Flora Brewery,Morganton,NC,Window Seat Coconut Almond Porter,Baxter Brewing Co.,Auburn,ME,Coconut Porter,Broken Compass Brewing,Breckenridge,CO
2015,8,79,Chili Beer,Fire Tiger,Lander Brewing Co.,Lander,WY,Heir Apparent,Lickinghole Creek Craft Brewery,Goochland,VA,Ballast Point Pale Ale with Serrano,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,CA
2015,9,142,Herb and Spice Beer,Garden Party,Free State Brewing Co.,Lawrence,KS,Allergeez,Panther Island Brewing Co.,Fort Worth,TX,Oatmeal Raisin Cookie Ale,Aftershock Brewing Co.,Temecula,CA
2015,10,65,Chocolate Beer,The Velvet Hog,TAPS Fish House & Brewery - Corona,Corona,CA,El Toro Coco Chocolate Stout,El Toro Brewing Co.,Morgan Hill,CA,Wonka Bar,Mispillion River Brewing,Milford,DE
2015,11,149,Coffee Beer,Zumbar Chocolate Coffee Imperial Stout,New English Brewing Co.,San Diego,CA,Mocha Machine,Beachwood BBQ & Brewing,Long Beach,CA,Bacon and Eggs,Pizza Port Ocean Beach,San Diego,CA
2015,12,59,Specialty Beer,Hog Cabin,Great South Bay Brewery,Bay Shore,NY,Hazelnut Brown Nectar,Rogue Ales,Newport,OR,Pack Dog Peanut Butter Ale,Marley’s Brewery & Grille,Bloomsburg,PA
2015,13,84,Rye Beer,Blitzkrieg Bock,Fat Head’s Brewery - Portland,Portland,OR,Concrete Dinosaur,Right Brain Brewery,Traverse City,MI,Pt. Bonita Rustic Lager,Headlands Brewing Co.,Mill Valley,CA
2015,14,52,Honey Beer,Electric Stinger,The Tap Beer Co.,Bloomington,IN,Honey Chamomile Wheat,Nexus Brewery,Albuquerque,NM,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA
2015,15,44,Session Beer,BJ’s LightSwitch Lager,BJ’s Restaurant & Brewery - Temple,Temple,TX,MCA,21st Amendment Brewery Cafe,San Francisco,CA,Guillaume,Pizza Port Ocean Beach,San Diego,CA
2015,16,161,Session India Pale Ale,The Coachman,Societe Brewing Co.,San Diego,CA,Size 4,Steel Toe Brewing,St. Louis Park,MN,Nose Candy,Noble Ale Works,Anaheim,CA
2015,17,43,Other Strong Beer,Ursa Minor,McCoy’s Public House,Kansas City,MO,Humboldt Brownie,Mad River Brewing Co.,Blue Lake,CA,Take Back the Streets,Piece Brewery,Chicago,IL
2015,18,85,Experimental Beer,Mystery Airship Imperial Chocolate Porter,New Helvetia Brewing Co.,Sacramento,CA,Melt My Brain,Short’s Brewing Co.,Elk Rapids,MI,Ramjet,Black Project Spontaneous & Wild Ales,Denver,CO
2015,19,34,Fresh or Wet Hop Ale,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Fresh Hop Superpower IPA,Comrade Brewing Co.,Denver,CO,Melvin IPA,Melvin Brewing,Jackson,WY
2015,20,40,Historical Beer,Black Eagle Gratzer,Platform Beer Co.,Cleveland,OH,Dortmunder Adambier,Blue Pants Brewery,Madison,AL,Snow Drop,Grimm Brothers Brewhouse,Loveland,CO
2015,21,24,Gluten-Free Beer,Watchstander Stout,Ghostfish Brewing Co.,Seattle,WA,IPA No. 5,Ground Breaker Brewing,Portland,OR,Ghostfish Grapefruit IPA,Ghostfish Brewing Co.,Seattle,WA
2015,22,71,American-Belgo-Style Ale,Le Freak,Green Flash Brewing Co.,San Diego,CA,Summer Saison,Blackberry Farm Brewery,Walland,TN,Salad Days American Saison,Pale Fire Brewing Co.,Harrisonburg,VA
2015,23,86,American-Style Sour Ale,Savant Blanc,Perennial Artisan Ales,Saint Louis,MO,Ensorcelled,The Rare Barrel,Berkeley,CA,Apropos of Nothing,The Rare Barrel,Berkeley,CA
2015,24,85,Brett Beer,(512) Wild Bear,(512) Brewing Co.,Austin,TX,Red Swingline IPA Primitif,Trinity Brewing,Colorado Springs,CO,2015 Golden Ale,New Glarus Brewing Co. - Hilltop,New Glarus,WI
2015,25,69,Wood- and Barrel-Aged Beer,Wild Warehouse,Wander Brewing,Bellingham,WA,Palo Santo Aged Porter,Spellbound Brewing,Mount Holly,NJ,Barrel Aged Brown Ale,Twin Peaks Brewery,Irving,TX
2015,26,179,Wood- and Barrel-Aged Strong Beer,Melange A Trois,Nebraska Brewing Co.,La Vista,NE,Batch 666: Sympathy For The Devil,Sun King Brewing Co.,Indianapolis,IN,Ska Face,SKA Brewing,Durango,CO
2015,27,128,Wood- and Barrel-Aged Strong Stout,Ctayt,AC Golden Brewing Co.,Golden,CO,Sherry Ink,Rhinegeist Brewing,Cincinnati,OH,Dosvidanya,DESTIHL - Champaign,Champaign,IL
2015,28,137,Wood- and Barrel-Aged Sour Beer,Veritas 015,The Lost Abbey,San Marcos,CA,24 Frames Per Second,Our Mutual Friend Malt & Brew,Denver,CO,Sour Opal,Firestone Walker Barrelworks,Buellton,CA
2015,29,38,Aged Beer,Big Deluxe,Ritual Brewing Co.,Redlands,CA,Sasquatch 2014,903 Brewers,Sherman,TX,Old Diablo,Morgan Territory Brewing,Tracy,CA
2015,30,45,Kellerbier or Zwickelbier,STS Pils,Russian River Brewing Co.,Santa Rosa,CA,TAPS Kellerbier,TAPS Fish House & Brewery - Brea,Brea,CA,Fargo Original,Fargo Brewing Co.,Fargo,ND
