year,style,medal,beer,brewery,city,state
1999,European-Style Pilsener,gold,Pilsner 500,Prescott Brewing,Prescott,AZ
1999,European-Style Pilsener,silver,Das Dort,Bob's House of Brews,Grand Rapids,MI
1999,European-Style Pilsener,bronze,Ybor Gold,Ybor City Brewing Company,Tampa,FL
1999,German-Style Pilsener,gold,Smooth Talker Pilsner,Local Color Brewing Company,Novi,MI
1999,German-Style Pilsener,silver,Stoudt's Pilsner,Stoudt Brewery,Adamstown,PA
1999,German-Style Pilsener,bronze,Hometown Blonde,New Glarus Brewing,New Glarus,WI
1999,American-Style Specialty Lager,gold,Brewery Hill Pocono Pilsner,The Lion Brewery,Wilkes-Barre,PA
1999,American-Style Specialty Lager,silver,Mickey's Ice,Mickey's Brewing,Milwaukee,WI
1999,American-Style Specialty Lager,bronze,St. Ides Malt Liquor,St. Ides Brewing,Fogelsville,PA
1999,Belgian-Style Ales,gold,Damnation Belgian-Style Ale,Russian River Brewing,Guerneville,CA
1999,Belgian-Style Ales,silver,Trident Tripel,Angelic Brewing,Madison,WI
1999,Belgian-Style Ales,bronze,Saison,Brasserie Monx Ltd.,Seattle,WA
1999,Herb and Spice Beer,gold,Cerveza Chilibeso,Great Basin Brewing,Sparks,NV
1999,Herb and Spice Beer,silver,Special B,Brew Moon,Boston,MA
1999,Herb and Spice Beer,bronze,Great Pumpkin Spiced Ale,Cottonwood Brewery,Boone,NC
1999,American Lager/Ale or Cream Ale,gold,Liebotschaner Cream Ale,The Lion Brewery,Wilkes-Barre,PA
1999,American Lager/Ale or Cream Ale,silver,Brew 22,Mill Creek Brewpub,Walla Walla,WA
1999,American Lager/Ale or Cream Ale,bronze,Gotham City Gold,Commonwealth Brewing,New York,NY
1999,American-Style Lager,gold,Old Milwaukee,The Stroh Brewery Company,Fogelsville,PA
1999,American-Style Lager,silver,Schmidt's,G. Heileman Brewing,Fogelsville,PA
1999,American-Style Lager,bronze,Miller High Life,Miller Brewing,Milwaukee,WI
1999,Bohemian-Style Pilsener,gold,Royal Bohemian PilsnerHoppers Brooker Creek Grille and Tap Room,Hoppers Brooker Creek Grille and Tap Room,Palm Harbor,FL
1999,Bohemian-Style Pilsener,silver,Samuel Adams Boston Lager,Boston Beer Co.,Boston,MA
1999,Bohemian-Style Pilsener,bronze,Pillage Pilsner,Valhalla Microbrewery,Pittsburgh,PA
1999,Experimental Beer,gold,Hempen-Roggen,Diamondback Brewery,Cleveland,OH
1999,Experimental Beer,silver,Old Conundrum Barley Wine,Flossmoor Station,Flossmoor,IL
1999,Experimental Beer,bronze,Burghead Pict Heather Ale,Alameda Brewhouse,Portland,OR
1999,Fruit Beers (other than raspberry),gold,No Medal Awarded,,,
1999,Fruit Beers (other than raspberry),silver,Oasis Blueberry Ale,Oasis Brewery,Boulder,CO
1999,Fruit Beers (other than raspberry),bronze,Black Cherry Stout,Main Street Station,Las Vegas,NV
1999,Robust Porter,gold,Perseus Porter,Elysian Brewery,Seattle,WA
1999,Robust Porter,silver,Muddy River Porter,Boston Beer Co.,Boston,MA
1999,Robust Porter,bronze,Lazy Jake Porter,Long Valley Pub,Long Valley,NJ
1999,American-Style Light Lager,gold,Old Milwaukee Light,The Stroh Brewery Company,Fogelsville,PA
