brewery_city,lat,lng
"Prescott Brewing, Prescott, AZ",34.5421407,-112.469638
"Bob's House of Brews, Grand Rapids, MI",42.9635407,-85.67283119999999
"Ybor City Brewing Company, Tampa, FL",27.9614191,-82.4416674
"Local Color Brewing Company, Novi, MI",42.4847195,-83.51219909999999
"Stoudt Brewery, Adamstown, PA",40.2374176,-76.0723124
"New Glarus Brewing, New Glarus, WI",42.7944939,-89.63019670000001
"The Lion Brewery, Wilkes-Barre, PA",41.2579939,-75.828953
"Mickey's Brewing, Milwaukee, WI",43.03814269999999,-87.9107781
"St. Ides Brewing, Fogelsville, PA",40.5976212,-75.5719198
"Russian River Brewing, Guerneville, CA",38.51381980000001,-122.9834085
"Angelic Brewing, Madison, WI",43.0740707,-89.3912083
"Great Basin Brewing, Sparks, NV",39.53507169999999,-119.7541169
"Brew Moon, Boston, MA",42.3523779,-71.04528090000001
"Cottonwood Brewery, Boone, NC",36.2033649,-81.668466
"Mill Creek Brewpub, Walla Walla, WA",46.06933919999999,-118.3347683
"Commonwealth Brewing, New York, NY",40.7217239,-73.9571722
"The Stroh Brewery Company, Fogelsville, PA",40.5766544,-75.6279725
"Miller Brewing, Milwaukee, WI",43.0428871,-87.9633788
"Hoppers Brooker Creek Grille and Tap Room, Palm Harbor, FL",28.1023452,-82.69407509999999
"Boston Beer Co., Boston, MA",42.34426879999999,-71.0305789
"Valhalla Microbrewery, Pittsburgh, PA",40.4621839,-79.96443169999999
"Diamondback Brewery, Cleveland, OH",41.498615,-81.686796
"Flossmoor Station, Flossmoor, IL",41.5432269,-87.67866219999999
"Alameda Brewhouse, Portland, OR",45.5484591,-122.6136388
"Oasis Brewery, Boulder, CO",40.0156964,-105.2810573
"Main Street Station, Las Vegas, NV",36.17413,-115.145072
"Elysian Brewery, Seattle, WA",47.6097786,-122.3390619
"Long Valley Pub, Long Valley, NJ",40.78390880000001,-74.7804781
"Pumphouse Brewery, Longmont, CO",40.1687914,-105.1023021
"BridgePort Brewing, Portland, OR",45.5308968,-122.6848368
"Montana Brewing, Billings, MT",45.7827698,-108.5059168
"Iron Hill Brewery, Newark, DE",39.6832854,-75.74675309999999
"Church Brew Works, Pittsburgh, PA",40.4621839,-79.96443169999999
"Native Brewing Company, Alexandria, VA",38.8079262,-77.1014593
"Calhoun's Restaurant, Knoxville, TN",35.9592153,-83.9156981
"Castle Springs Brewing, Moultonborough, NH",43.7324063,-71.3280916
