location,lat,long
"Tempe, AZ",33.4255104,-111.9400054
"Phoenix, AZ",33.4483771,-112.0740373
"Denver, CO",39.7392358,-104.990251
"Detroit, MI",42.331427,-83.0457538
"Kansas City, MO",39.0997265,-94.5785667
"Pittsburgh, PA",40.44062479999999,-79.9958864
"Boston, MA",42.3600825,-71.0588801
"Sevierville, TN",35.8681455,-83.56183500000002
"Austin, TX",30.267153,-97.7430608
"Baltimore, MD",39.2903848,-76.6121893
"Wayne, PA",40.0415996,-75.3698895
"Cincinnati, OH",39.1031182,-84.5120196
"Healdsburg, CA",38.6104658,-122.8691609
"Larkspur, CA",37.9340915,-122.5352539
"Moultonborough, NH",43.7551145,-71.39653059999999
"Farmingdale, NY",40.7325997,-73.4454009
"Longmont, CO",40.1672068,-105.1019275
"Braintree, MA",42.2079017,-71.0040013
"Salt Lake City, UT",40.7607793,-111.8910474
"Burlington, VT",44.4758825,-73.21207199999999
"Knoxville, TN",35.9606384,-83.9207392
"New York, NY",40.7127837,-74.0059413
"Cleveland, OH",41.49932,-81.6943605
"Flossmoor, IL",41.5428123,-87.6847684
"Portland, OR",45.5230622,-122.6764816
"Elk Grove, CA",38.4087993,-121.3716178
"Shiner, TX",29.4291304,-97.1705425
"Sunnyvale, CA",37.36883,-122.0363496
"Greeley, CO",40.4233142,-104.7091322
"Seattle, WA",47.6062095,-122.3320708
"Long Valley, NJ",40.78593310000001,-74.7801645
"Kalamazoo, MI",42.2917069,-85.5872286
"Rochester, NY",43.16103,-77.6109219
"Dallas, TX",32.7766642,-96.79698789999999
"Red Lodge, MT",45.1857782,-109.2468211
"Chicago, IL",41.8781136,-87.6297982
"Guerneville, CA",38.5018575,-122.9961102
"Sebastopol, CA",38.4021359,-122.8238806
"Sparks, NV",39.5349112,-119.7526886
"Boone, NC",36.216795,-81.6745517
"Tacoma, WA",47.2528768,-122.4442906
"Boulder, CO",40.0149856,-105.2705456
"Nashville, TN",36.1626638,-86.7816016
"Palm Harbor, FL",28.0780718,-82.7637127
"Arcata, CA",40.8665166,-124.0828396
"Madison, WI",43.0730517,-89.4012302
"Newark, DE",39.6837226,-75.74965720000002
"Alexandria, VA",38.8048355,-77.0469214
"Minneapolis, MN",44.977753,-93.2650108
"Jackson, WY",43.4799291,-110.7624282
"West Chester, PA",39.9606643,-75.6054882
"Novi, MI",42.48059,-83.4754913
"Adamstown, PA",40.2412035,-76.0563303
"New Glarus, WI",42.8144473,-89.6351217
"Milwaukee, WI",43.0389025,-87.9064736
"Tumwater, WA",47.0073187,-122.9093063
"Minocqua, WI",45.8710837,-89.7092705
"Coral Gables, FL",25.72149,-80.2683838
"Fort Collins, CO",40.5852602,-105.084423
"Myrtle Beach, SC",33.6890603,-78.8866943
"Ft. Wayne, IN",41.079273,-85.1393513
"Fort Bragg, CA",39.445723,-123.8052935
"Newport Beach, CA",33.6189101,-117.9289469
"Akron, OH",41.0814447,-81.51900529999999
"Colorado Springs, CO",38.8338816,-104.8213634
"Oak Bluffs, MA",41.4542793,-70.5619724
"Brooklyn, NY",40.6781784,-73.9441579
"Louisville, CO",39.977763,-105.1319296
"Pacific City, OR",45.2023263,-123.9628946
