year,style,id,parent,flag
1999,American Dark Lager,1,,
1999,American Lager/Ale or Cream Ale,2,,
1999,American-Style Amber / Red Ale,3,,
1999,American-Style Amber Lager,4,,
1999,American-Style Brown Ale,5,,
2000,American Lager,6,1,
2000,American-Style Amber / Red Ale,7,1,
2000,American-Style Amber Lager,8,2,
2000,American-Style Brown Ale,9,3,
2000,American-Style Dark Lager,10,3,
2001,Specialty Beer,11,,
2001,Specialty Honey Beer,12,8,
2001,Strong Scotch Ale,13,10,
2001,Sweet Stout,14,5,
2002,Vienna-Style Lager,15,14,
