year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
1999,15.0,20.0,European-Style Pilsener,Pilsner 500,Prescott Brewing,Prescott,AZ,Das Dort,Bob's House of Brews,Grand Rapids,MI,Ybor Gold,Ybor City Brewing Company,Tampa,FL
1999,12.0,38.0,German-Style Pilsener,Smooth Talker Pilsner,Local Color Brewing Company,Novi,MI,Stoudt's Pilsner,Stoudt Brewery,Adamstown,PA,Hometown Blonde,New Glarus Brewing,New Glarus,WI
1999,19.0,15.0,American-Style Specialty Lager,Brewery Hill Pocono Pilsner,The Lion Brewery,Wilkes-Barre,PA,Mickey's Ice,Mickey's Brewing,Milwaukee,WI,St. Ides Malt Liquor,St. Ides Brewing,Fogelsville,PA
1999,42.0,39.0,Belgian-Style Ales,Damnation Belgian-Style Ale,Russian River Brewing,Guerneville,CA,Trident Tripel,Angelic Brewing,Madison,WI,Saison,Brasserie Monx Ltd.,Seattle,WA
1999,7.0,33.0,Herb and Spice Beer,Cerveza Chilibeso,Great Basin Brewing,Sparks,NV,Special B,Brew Moon,Boston,MA,Great Pumpkin Spiced Ale,Cottonwood Brewery,Boone,NC
1999,2.0,29.0,American Lager/Ale or Cream Ale,Liebotschaner Cream Ale,The Lion Brewery,Wilkes-Barre,PA,Brew 22,Mill Creek Brewpub,Walla Walla,WA,Gotham City Gold,Commonwealth Brewing,New York,NY
1999,17.0,24.0,American-Style Lager,Old Milwaukee,The Stroh Brewery Company,Fogelsville,PA,Schmidt's,G. Heileman Brewing,Fogelsville,PA,Miller High Life,Miller Brewing,Milwaukee,WI
1999,13.0,40.0,Bohemian-Style Pilsener,Royal Bohemian PilsnerHoppers Brooker Creek Grille and Tap Room,Hoppers Brooker Creek Grille and Tap Room,Palm Harbor,FL,Samuel Adams Boston Lager,Boston Beer Co.,Boston,MA,Pillage Pilsner,Valhalla Microbrewery,Pittsburgh,PA
1999,10.0,33.0,Experimental Beer,Hempen-Roggen,Diamondback Brewery,Cleveland,OH,Old Conundrum Barley Wine,Flossmoor Station,Flossmoor,IL,Burghead Pict Heather Ale,Alameda Brewhouse,Portland,OR
1999,4.0,26.0,Fruit Beers (other than raspberry),No Medal Awarded,,,,Oasis Blueberry Ale,Oasis Brewery,Boulder,CO,Black Cherry Stout,Main Street Station,Las Vegas,NV
1999,44.0,64.0,Robust Porter,Perseus Porter,Elysian Brewery,Seattle,WA,Muddy River Porter,Boston Beer Co.,Boston,MA,Lazy Jake Porter,Long Valley Pub,Long Valley,NJ
1999,16.0,27.0,American-Style Light Lager,Old Milwaukee Light,The Stroh Brewery Company,Fogelsville,PA,Schlitz Light,Jos. Schlitz Brewing Company,Fogelsville,PA,Schmidt's Light,G. Heileman Brewing,Fogelsville,PA
1999,32.0,108.0,American-Style Pale Ale,Igniter Pale Ale,Pumphouse Brewery,Longmont,CO,BridgePort India Pale Ale,BridgePort Brewing,Portland,OR,Sharptail Pale Ale,Montana Brewing,Billings,MT
1999,26.0,25.0,Bock,Maibock,Iron Hill Brewery,Newark,DE,Mad Brewer Maibock,Church Brew Works,Pittsburgh,PA,Native Dark,Native Brewing Company,Alexandria,VA
1999,14.0,29.0,Munich-Style Helles,Velas Helles,Calhoun's Restaurant,Knoxville,TN,Lucknow Munich-style Lager,Castle Springs Brewing,Moultonborough,NH,Penn Gold,Pennsylvania Brewing,Pittsburgh,PA
1999,3.0,50.0,American-Style Wheat Ale or Lager,Diamondback Wheat,Elk Grove Brewery,Elk Grove,CA,Shiner Honey Wheat,Spoetzl Brewery,Shiner,TX,Stoddard's American Wheat,Stoddard's Brewhouse and Eatery,Sunnyvale,CA
1999,36.0,37.0,Scottish-Style Ale,,,,,Tilted Kilt,Pyramid Breweries,Seattle,WA,Kilt Lifter Scottish Amber,Four Peaks Brewing,Tempe,AZ
1999,23.0,13.0,European-Style Dark / Münchner Dunkel,Atwater Dunkel,Atwater Block Brewery,Detroit,MI,Black Forest Dark,HofbrauHaus Brewery and Biergarten at Station Casino,Kansas City,MO,Penn Dark,Pennsylvania Brewing,Pittsburgh,PA
1999,18.0,16.0,American-Style Premium Lager,Miller Genuine Draft,Miller Brewing,Milwaukee,WI,Dundee's Classic Lager,High Falls Brewing,Rochester,NY,Henry Weinhard's Private Reserve,Blitz-Weinhard Brewing,Tumwater,WA
1999,45.0,40.0,Brown Porter,Puget Sound Porter,Harmon Pub & Brewery,Tacoma,WA,Trout Creek Porter,Trout Creek Brewing Company,Boulder,CO,St. Charles Porter,Blackstone Brewing,Nashville,TN
1999,28.0,53.0,Golden Ale / Canadian-Style Ale,Blonde Ale,Goose Island Beer Co.,Chicago,IL,Golden Wheat Ale,Russian River Brewing,Guerneville,CA,Blonde Ale,Powerhouse Brewing,Sebastopol,CA
1999,29.0,46.0,German-Style Kölsch / Köln-Style Kölsch,Skinny Atlas Light,Empire Brewery of Rochester,Rochester,NY,Osage Golden Wheat,Two Rows Restaurant & Brewery,Dallas,TX,Red Lodge Reserve,Red Lodge Ales,Red Lodge,MT
1999,41.0,77.0,German-Style Wheat Ale,Hoffbrau Hefeweizen,Arizona Roadhouse and Brewery,Tempe,AZ,Double Play Dunkel Weizen,Leinenkugel Brewing,Phoenix,AZ,Wild Pitch Hefeweizen,Sandlot Brewery,Denver,CO
1999,51.0,31.0,Strong Scotch Ale,MacSpootin Scotch,Back Bay Brewing Company,Boston,MA,Winterfest Ale,Rocky River Brewing,Sevierville,TN,Prescott's Wee Heavy,Bitter End,Austin,TX
1999,35.0,46.0,English-Style (Extra Special) Strong Bitter,Extra Special Bitter,Russian River Brewing,Guerneville,CA,Settlers Ale,Crooked River Brewing,Cleveland,OH,Saint Arnold Amber Ale,Saint Arnold Brewing,Houston,TX
1999,48.0,21.0,Sweet Stout,,,,,Kickstart Stout,Barley Brothers Brewery,Lake Havasu City,AZ,A Beer Named Bob,Bitter Creek Brewing,Rock Springs,WY
