year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2014,83,48,American-Style Stout,Defender,Haymarket Pub & Brewery,Chicago,IL,Disorder,Barley Brothers Brewery,Baker City,OR,P2P,10 Barrel Brewing Co.,Bend,OR
2015,69,111,German-Style Sour Ale,Gose,Reuben's Brews,Seattle,WA,Volkssekt,Bend Brewing,Bend,OR,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR
2015,86,39,American-Style Stout,Disorder Stout,Barley Brothers Brewery,Baker City,OR,Black Cliffs,Boise Brewing,Boise,ID,P2P,10 Barrel Brewing Co.,Bend,OR
2009,13,82,Out of Category – Traditionally Brewed Beer,W ‘10,Widmer Brothers Brewing,Portland,OR,Brooklyner-Schneider Hopfen-Weisse,Brooklyn Brewery,Brooklyn,NY,S1NIST0R Black Ale,10 Barrel Brewing Co.,Bend,OR
2014,1,31,American-Style Wheat Beer,Red Dawn,Carson’s Brewery,Evansville,IN,Yellow Armadillo,Thirsty Planet Brewing,Austin,TX,Amber Waves,10 Barrel Brewing Co.,Bend,OR
2012,12,67,Session Beer,Twerp,Pizza Port,Carlsbad,CA,Dock Street/Thiriez Table Saison,Dock Street Brewery,Philadelphia,PA,Bitter American,21st Amendment,San Francisco,CA
2009,22,43,Smoke Beer,Smokejumper,Left Hand Brewing Co.,Longmont,CO,Up In Smoke,Fat Head’s Brewery & Saloon,North Olmsted,OH,Diesel Imperial Smoked Porter,21st Amendment,San Francisco,CA
2007,45,72,Imperial or Double India Pale Ale,Hopsickle,Moylan's Brewery,Novato,CA,Moylander,Moylan's Brewery,Novato,CA,Double Trouble Imperial IPA,21st Amendment,San Francisco,CA
2012,4,38,Fruit Wheat Beer,Ruby Raspberry Wheat,Mad Anthony Brewing,Fort Wayne,IN,Leinenkugel’s Summer Shandy,Jacob Leinenkugel Brewing,Chippewa Falls,WI,5 Lizard Latin-Style Witbier,5 Rabbit Cerveceria,Bedford Park,IL
2006,17,33,Bohemian-Style Pilsener,Schtolen Pils,SandLot Brewery at Coors Field,Denver,CO,La Plata Pils,Carver Brewing,Durango,CO,Papa’s Pilsner,75th Street Brewery,Lawrence,KS
2015,73,47,Belgian-Style Blonde Ale or Pale Ale,Bear Hair,Logboat Brewing Co.,Columbia,MO,Bleek Worden,Prison City Brewing,Auburn,NY,Belgian Style Pale Ale,Aardwolf Brewing Co.,Jacksonville,FL
2014,38,59,German-Style Märzen,Capital Oktoberfest,Capital Brewery,Middleton,WI,Duck-Rabbit Marzen,The Duck-Rabbit Craft Brewery,Farmville,NC,Octoberfest,Abita Brewing Co.,Abita Springs,LA
2013,49,30,International-Style Pale Ale,Hand Truck,Baker City Brewing Co.,Baker City,OR,Amazeballs,Peekskill Brewery,Peekskill,NY,IPL,AC Golden,Golden,CO
2010,35,20,American-Style Dark Lager,Michelob AmberBock,Michelob Brewing Co.,St. Louis,MO,,,,,Schwarzbier,AC Golden,Golden,CO
2011,38,16,American-Style Dark Lager,Durango Dark,Durango Brewing Co.,Durango,CO,Session Black,Full Sail Brewing,Hood River,OR,Schwarzbier,AC Golden Brewing Co.,Golden,CO
2009,34,21,European Style Dunkel,Dunkel,Chuckanut Brewery,Bellingham,WA,Gordon Biersch Dunkles,Gordon Biersch Brewery,Broomfield,CO,Dunkel,AC Golden Brewing Co.,Golden,CO
2012,23,65,Wood- and Barrel-Aged Strong Stout,Fourteen Fourteen,Central Waters Brewing Co.,Amherst,WI,Silva Stout,Green Flash Brewing Co.,San Diego,CA,Barrel Aged Russian Imperial Stout,AC Golden Brewing Co.,Golden,CO
