location,lat,long
"RAM Restaurant & Brewery, Indianapolis",0,1
"Glacier Brewhouse, Anchorage",1,2
"Florida Beer Co., Melbourne",2,3
"Oggi's Pizza and Brewing, San Clemente",3,4
"BridgePort Brewing, Portland",4,5
"Diamond Bear Brewing Co., Little Rock",5,6
"Moose’s Tooth Brewing Co., Anchorage",6,7
"Western Reserve Brewing, Cleveland",7,8
"Two Rows Restaurant & Brewery, Dallas",8,9
"Pug Ryans Brewery, Dillon",9,10
"Hangar 24 Craft Brewery, Redlands",10,11
"Pabst Brewing, Los Angeles",11,12
"Emmett’s Tavern & Brewing Co., West Dundee",12,13
"Laurelwood Brewing, Portland",13,14
"Gella's Diner, Hays",14,15
"Flying Fish Brewing Co., Somerdale",15,16
"Stewart’s Brewing Co., Bear",16,17
"Papago Brewing Co., Scottsdale",17,18
"Fat Head’s Brewery, North Olmsted",18,19
"The Public House Brewing Co., Rolla",19,20
"Gunnison Brewery, Gunnison",20,21
"Olde Saratoga Brewing Co., Saratoga Springs",21,22
"Basil T’s Brewery & Italian Grill, Red Bank",22,23
"Walnut Brewery, Louisville",23,24
"Calhoun's Restaurant, Harrisonburg",24,25
"Big Time Brewery, Seattle",25,26
"BJ's Restaurant & Brewery, Huntington Beach",26,27
"Renegade Brewing Co., Denver",27,28
"Spoetzl Brewery, Shiner",28,29
"Chelsea Brewing, New York",29,30
"Knee Deep Brewing Co., Lincoln",30,31
"Lost Coast Brewery, Eureka",31,32
"Iron Hill Brewery, Phoenixville",32,33
"Full Sail Brewing, Hood River",33,34
"Bonfire Brewing, Eagle",34,35
"Six Rivers Brewery, McKinleyville",35,36
"Central Waters Brewing Co., Amherst",36,37
"Arch Rock Brewing Co., Gold Beach",37,38
"Two Beers Brewing Co., Seattle",38,39
"Social Kitchen & Brewery, San Francisco",39,40
"Spellbound Brewing, Mount Holly",40,41
"Tied House Cafe, Mountain View",41,42
"RAM International/Humperdink's/Big Horn Brewing Co., Lakewood",42,43
"Great Northern Brewing, Whitefi sh",43,44
"Flossmoor Station, Flossmoor",44,45
