brewery,city_state
"RAM Restaurant & Brewery, Indianapolis","Indianapolis, IN"
"Glacier Brewhouse, Anchorage","Anchorage, AK"
"Florida Beer Co., Melbourne","Melbourne, FL"
"Oggi's Pizza and Brewing, San Clemente","San Clemente, CA"
"BridgePort Brewing, Portland","Portland, OR"
"Diamond Bear Brewing Co., Little Rock","Little Rock, AR"
"Moose’s Tooth Brewing Co., Anchorage","Anchorage, AK"
"Western Reserve Brewing, Cleveland","Cleveland, OH"
"Two Rows Restaurant & Brewery, Dallas","Dallas, TX"
"Pug Ryans Brewery, Dillon","Dillon, CO"
"Hangar 24 Craft Brewery, Redlands","Redlands, CA"
"Pabst Brewing, Los Angeles","Los Angeles, CA"
"Emmett’s Tavern & Brewing Co., West Dundee","West Dundee, IL"
"Laurelwood Brewing, Portland","Portland, OR"
"Gella's Diner, Hays","Hays, KS"
"Flying Fish Brewing Co., Somerdale","Somerdale, NJ"
"Stewart’s Brewing Co., Bear","Bear, DE"
"Papago Brewing Co., Scottsdale","Scottsdale, AZ"
"Fat Head’s Brewery, North Olmsted","North Olmsted, OH"
"The Public House Brewing Co., Rolla","Rolla, MO"
"Gunnison Brewery, Gunnison","Gunnison, CO"
"Olde Saratoga Brewing Co., Saratoga Springs","Saratoga Springs, NY"
"Basil T’s Brewery & Italian Grill, Red Bank","Red Bank, NJ"
"Walnut Brewery, Louisville","Louisville, CO"
"Calhoun's Restaurant, Harrisonburg","Harrisonburg, VA"
"Big Time Brewery, Seattle","Seattle, WA"
"BJ's Restaurant & Brewery, Huntington Beach","Huntington Beach, CA"
"Renegade Brewing Co., Denver","Denver, CO"
"Spoetzl Brewery, Shiner","Shiner, TX"
"Chelsea Brewing, New York","New York, NY"
"Knee Deep Brewing Co., Lincoln","Lincoln, CA"
"Lost Coast Brewery, Eureka","Eureka, CA"
"Iron Hill Brewery, Phoenixville","Phoenixville, PA"
"Full Sail Brewing, Hood River","Hood River, OR"
"Bonfire Brewing, Eagle","Eagle, CO"
"Six Rivers Brewery, McKinleyville","McKinleyville, CA"
"Central Waters Brewing Co., Amherst","Amherst, WI"
"Arch Rock Brewing Co., Gold Beach","Gold Beach, OR"
"Two Beers Brewing Co., Seattle","Seattle, WA"
"Social Kitchen & Brewery, San Francisco","San Francisco, CA"
"Spellbound Brewing, Mount Holly","Mount Holly, NJ"
"Tied House Cafe, Mountain View","Mountain View, CA"
"RAM International/Humperdink's/Big Horn Brewing Co., Lakewood","Lakewood, WA"
"Great Northern Brewing, Whitefi sh","Whitefi sh, MT"
"Flossmoor Station, Flossmoor","Flossmoor, IL"
"Fat Head’s Brewery, Middleburg Heights","Middleburg Heights, OH"
"E.J. Phair Brewing Co., Concord","Concord, CA"
"Christian Moerlein Brewing Co., Cincinnati","Cincinnati, OH"
"The Sand, LotDenver","LotDenver, CO"
"Mayflower Brewing Co., Plymouth","Plymouth, MA"
"Ahnapee Brewery, Algoma","Algoma, WI"
"High Falls Brewing, Rochester","Rochester, NY"
"Rainier Brewing, Tumwater","Tumwater, WA"
"Del Norte Brewing Co., Denver","Denver, CO"
"CB & Potts Restaurant & Brewery, Fort CollinsFort Collins","Fort CollinsFort Collins, CO"
"Stroh Brewery, Fogelsville","Fogelsville, PA"
"Noble Ale Works, Anaheim","Anaheim, CA"
"Pete's Brewing, San Antonio","San Antonio, TX"
"Island Brewing, Carpinteria","Carpinteria, CA"
"Thirsty Dog Brewing, Canton","Canton, OH"
"Rockyard Brewing Co., Castle Rock","Castle Rock, CO"
"Summit Brewing, St Paul","St Paul, MN"
"The Cambridge House, Granby","Granby, CT"
"Karl Strauss Brewing, San Diego","San Diego, CA"
"Great Basin Brewing, Sparks","Sparks, NV"
"Glenwood Canyon Brewing, Glenwood Springs","Glenwood Springs, CO"
"Free State Brewing Co., Lawrence","Lawrence, KS"
"Boscos Brewing, Memphis/Nashville","Memphis/Nashville, TN"
"Schaefer Brewing, San Antonio","San Antonio, TX"
"Alvarado Street Brewery & Grill, Monterey","Monterey, CA"
"Old Dominion Brewing, Dover","Dover, DE"
"Gordon Biersch Brewery, Annapolis","Annapolis, MD"
"Michigan Brewing, Webberville","Webberville, MI"
"Snake River Brewing, Lander","Lander, WY"
"Brew Moon, Brookline","Brookline, MA"
"903 Brewers, Sherman","Sherman, TX"
"Rock Bottom, Englewood","Englewood, CO"
"Redrock Brewery, Salt Lake City","Salt Lake City, UT"
"Redhook Ale Brewery, Portland","Portland, OR"
"Columbia River Brewing Co., Portland","Portland, OR"
"Elevator Brewing, Columbus","Columbus, OH"
"Brooklyn Brewery, Brooklyn","Brooklyn, NY"
"BJ's Restaurant & Brewery, Boulder","Boulder, CO"
"Chama River Brewing, Albuquerque","Albuquerque, NM"
"Oggi's Pizza and Brewing, San Diego","San Diego, CA"
"Smiling Moose Brewpub & Grill, Greeley","Greeley, CO"
"Karbach Brewing Co., Houston","Houston, TX"
"Third Street Ale Works, Santa Rosa","Santa Rosa, CA"
"Ghostfish Brewing Co., Seattle","Seattle, WA"
"Atlanta Brewing Co., Atlanta","Atlanta, GA"
"RAM Restaurant & Brewery, Salem","Salem, OR"
"13 Virtues Brewing Co., Portland","Portland, OR"
"Ortlieb's Brewery & Grille, Pottstown","Pottstown, PA"
"AC Golden, Golden","Golden, CO"
"Silver City Brewery, Bremerton","Bremerton, WA"
"Jurupa Valley Brewing Co., Riverside","Riverside, CA"
"Pelican Pub, Pacifi c City","Pacifi c City, OR"
"Deschutes Brewery, Bend","Bend, OR"
"Hoppers Brooker Creek Grille and Tap Room, Palm Harbor","Palm Harbor, FL"
"Armadillo Ale Works, Denton","Denton, TX"
"Wicked Weed Brewing, Asheville","Asheville, NC"
"Fat Head’s Brewery - Portland, Portland","Portland, OR"
"Temperance Beer Co., Evanston","Evanston, IL"
"Minnesota Brewing, St. Paul","St. Paul, MN"
"J.T. Whitney's Pub & Brewery, Madison","Madison, WI"
"Bluegrass Brewing Co., Louisville","Louisville, KY"
