token,replacement
Moylan’s B,Moylan's Brewery
Michigan B,Michigan Brewing
Eel River ,Eel River Brewing
Steamworks,Steamworks Brewing
Denver Bee,Denver Beer Company
Dostal All,Dostal Alley BrewPub
Brew Moon ,Brew Moon
Stoudt Bre,Stoudt Brewery
Capitol Ci,Capitol City Brewing
Hudepohl-S,Hudepohl-Schoenling Brewing
Rock Botto,Rock Bottom
AleSmith B,AleSmith Brewing
Bristol Br,Bristol Brewing
Moosejaw P,Moosejaw Pizza and Brewing
Utah Brewe,Utah Brewers
Reuben’s B,Reuben's Brews
Pete's Bre,Pete's Brewing
Blackstone,Blackstone Brewing
Elevator B,Elevator Brewing
Sprecher B,Sprecher Brewing
Union Craf,Union Craft Brewing
James Page,James Page Brewing
Pabst Brew,Pabst Brewing
Santa Barb,Santa Barbara Brewing
Boundary B,Boundary Bay Brewery
BJ's Resta,BJ's Restaurant & Brewery
Pagosa Bre,Pagosa Brewing
New Glarus,New Glarus Brewing
Jacob Lein,Jacob Leinenkugel Brewing
Redrock Br,Redrock Brewery
Samuel Ada,Samuel Adams Brewing
Ballast Po,Ballast Point Brewing
Church Bre,Church Brew Works
Nodding He,Nodding Head Brewing
Vino’s Piz,Vino's Pizza Pub
Yazoo Brew,Yazoo Brewing
Oasis Brew,Oasis Brewery
Kalamazoo ,Kalamazoo Brewing
Yakima Bre,Yakima Brewing
Big Time B,Big Time Brewery
Dry Dock B,Dry Dock Brewing
Willoughby,Willoughby Brewing
Sun King B,Sun King Brewery
St. Ides B,St. Ides Brewing
SLO Brewin,SLO Brewing
Blitz-Wein,Blitz-Weinhard Brewing
Marin Brew,Marin Brewing
Redhook Al,Redhook Ale Brewery
Great Dane,Great Dane Pub
Jarre Cree,Jarre Creek Ranch Brewery
Coast Brew,Coast Brewing
Red Rock B,Red Rock Brewing
Port Brewi,SKIPSKIP
Issaquah B,Issaquah Brewhouse
Mountain S,Mountain Sun Pub
Bull & Bus,Bull & Bush Brewery
Fox River ,Fox River Brewing
Sierra Nev,Sierra Nevada Brewing
Lone Star ,Lone Star Brewing
New Belgiu,New Belgium Brewing
Sandlot Br,Sandlot Brewery
Black Star,Black Star Co-op
Cascade Br,Cascade Brewery
Silver Cit,Silver City Brewery
Dock Stree,Dock Street Brewery
Alpine Bee,Alpine Beer
Miller Bre,Miller Brewing
Newport Be,Newport Beach Brewing
Chicago Br,Chicago Brewing
Mammoth Br,Mammoth Brewing
Steelhead ,Steelhead Brewery
Sly Fox Br,Sly Fox Brewhouse
August Sch,August Schell Brewing
Breakside ,Breakside Brewery
Redhook Br,Redhook Brewery
Upstream B,Upstream Brewing
Kona Brewi,Kona Brewing
Equinox Br,Equinox Brewing
Mickey's B,Mickey's Brewing
Rockies Br,Rockies Brewing
Fort Colli,Fort Collins Brewery
Empire Bre,SKIPSKIP
Montana Br,Montana Brewing
Pelican Pu,Pelican Pub
Oskar Blue,Oskar Blues
Rahr & Son,Rahr & Sons Brewing
Big Rock C,Big Rock Chop House
Stoudt's B,Stoudt's Brewing
Val Blatz ,Val Blatz Brewery
Avery Brew,Avery Brewing
Flossmoor ,Flossmoor Station
Elliott Ba,Elliott Bay Brewing
Widmer Bro,Widmer Brothers Brewing
Coors Brew,Coors Brewing
Great Nort,Great Northern Brewing
North Coas,North Coast Brewing
Blind Tige,Blind Tiger Brewery
Figueroa M,Figueroa Mountain Brewing
Saint Arno,Saint Arnold Brewing
Full Sail ,Full Sail Brewing
MacTarnaha,MacTarnahan's Brewing
Anderson V,Anderson Valley Brewing
Fredericks,Fredericksburg Brewing
High Falls,High Falls Brewing
Brasserie ,SKIPSKIP
Deschutes ,Deschutes Brewery
Goose Isla,Goose Island Beer Co.
Devils Bac,Devils Backbone Brewing
Troegs Bre,Troegs Brewery
Iron Hill ,Iron Hill Brewery
